dataset,optimizer,seed,lr,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
mri,adam,0,0.001,1,0.6752831366581794,0.7287660256410257,0.5593375427382333,0.7660714285714286,9.74769417799962
mri,adam,0,0.001,2,0.47550286467258746,0.8209134615384616,0.495160106250218,0.8053571428571429,5.802168617000461
mri,adam,0,0.001,3,0.4140550108292164,0.8457532051282052,0.4714933097362518,0.8017857142857143,5.61761831900003
mri,adam,0,0.001,4,0.3654951768425795,0.866386217948718,0.3301041202885764,0.8660714285714286,6.405416227999922
mri,adam,0,0.001,5,0.3261796230306992,0.8782051282051282,0.9896349975040981,0.6767857142857143,6.429751462999775
mri,adam,0,0.001,6,0.2892655394016168,0.8940304487179487,0.9326638153621128,0.6428571428571429,6.408718433999638
mri,adam,0,0.001,7,0.26053719967603683,0.9030448717948718,0.4185087374278477,0.8232142857142857,5.889919117000318
mri,adam,0,0.001,8,0.24382360852681673,0.9150641025641025,0.5767894319125584,0.7839285714285714,5.690151669000443
mri,adam,0,0.001,9,0.20188586901013666,0.9228766025641025,1.209007431779589,0.6482142857142857,5.271076661999359
mri,adam,0,0.001,10,0.1871259052019853,0.9334935897435898,0.38634987218039374,0.8464285714285714,5.261035540999728
mri,adam,0,0.001,11,0.16691913245580134,0.9423076923076923,1.5649691104888916,0.6839285714285714,5.3061517279993495
mri,adam,0,0.001,12,0.16160050817789176,0.9423076923076923,0.24183252262217658,0.9125,5.327280602999963
mri,adam,0,0.001,13,0.15236455703584048,0.9459134615384616,0.3233411708048412,0.8785714285714286,5.411844806000772
mri,adam,0,0.001,14,0.13495256207310236,0.9501201923076923,0.541785068171365,0.8375,5.4469024110003375
mri,adam,0,0.001,15,0.12340160667036588,0.9587339743589743,0.28841664876256673,0.8928571428571429,5.2499858110004425
mri,adam,0,0.001,16,0.11965901352083072,0.9571314102564102,0.9871282986232213,0.7535714285714286,5.309168499999942
mri,adam,0,0.001,17,0.1153506852972966,0.9579326923076923,0.2451114650283541,0.925,7.443771241000832
mri,adam,0,0.001,18,0.12393282525814496,0.9567307692307693,0.19163199067115783,0.9321428571428572,8.16328603400052
mri,adam,0,0.001,19,0.09879096587881064,0.9659455128205128,0.3108942450157234,0.8928571428571429,6.999837844000467
