dataset,optimizer,seed,lr,n_params,test_loss,test_acc,mean_epoch_time_s
mri,adam,0,0.001,274660,0.6297938210330903,0.91875,6.050763588466725
mri,adam,1,0.001,274660,0.4453210485354066,0.923125,5.812106154899933
mri,adam,2,0.001,274660,0.7415601976960897,0.88875,4.996328204499969
mri,sgd,0,0.01,274660,0.5558715608157218,0.92625,5.495285883133238
mri,sgd,1,0.01,274660,0.504372735619545,0.895625,5.730629972799913
mri,sgd,2,0.01,274660,0.6595875804428942,0.9025,5.7452032239667155
mri,gradhd,0,0.001,274660,0.61184146983549,0.93375,5.572243840099933
mri,gradhd,1,0.001,274660,0.5570090161636472,0.93,5.281154990233305
mri,gradhd,2,0.001,274660,0.9244732872019813,0.855625,4.7951557188665905
